member_id,frequency
14494,2
4145,2
38696,2
6189,2
1415,2
34305,2
12145,2
30189,2
5504,2
3919,2
34003,2
27112,2
30947,2
45927,2
22950,2
18620,2
16915,2
26804,2
17816,2
2531,2
15080,2
13625,2
39681,2
29227,2
19873,2
1813,2
27803,2
33071,2
22019,2
43119,2
6721,2
2730,2
31033,2
6245,2
4065,2
6233,2
6218,2
43124,2
6035,2
6018,2
2792,2
5824,2
29562,2
293,2
17024,2
8740,2
18049,2
24798,2
43282,2
26773,2
31756,2
34509,2
36679,2
14171,2
3733,2
6017,2
27244,2
4818,2
21698,2
5396,2
23871,2
10756,2
1902,2
5072,2
21452,2
23013,2
1901,2
148,2
3212,2
36376,2
36586,2
7822,2
6414,2
34047,2
1641,2
4087,2
6355,2
31990,2
12996,2
263,2
7892,2
43468,2
37173,2
4169,2
2190,2
43515,2
8719,2
42834,2
7202,2
19141,2
9648,2
14506,2
11712,2
27777,2
25925,2
4773,2
20034,2
8021,2
29932,2
4071,2
1031,2
11762,2
23678,2
35354,2
11439,2
32056,2
42455,2
25081,2
6849,2
12636,2
10193,2
315,2
3086,2
13126,2
4970,2
13650,2
23984,2
34507,2
5087,2
4247,2
29753,2
23860,2
23803,2
6624,2
16085,2
673,2
15595,2
3940,2
4614,2
36760,2
31459,2
23970,2
13479,2
38556,2
986,2
23731,2
6949,2
18827,2
37536,2
22816,2
5,2
8231,2
5947,2
19487,2
20269,2
32679,2
31150,2
30478,2
25714,2
15743,2
22733,2
7181,2
13702,2
45056,2
13269,2
17543,2
4514,2
2955,2
3004,2
1571,2
1591,2
21759,2
3002,2
629,2
6367,2
9479,2
13642,2
13390,2
2743,2
35496,2
44146,2
31965,2
5115,2
7636,2
14399,2
1656,2
15915,2
1220,2
11853,2
22091,2
21212,2
28912,2
8571,2
35550,2
8294,2
14091,2
42247,2
17673,2
8384,2
1407,2
1445,2
12059,2
39990,2
5677,2
15982,2
15382,2
20729,2
35501,2
7134,2
22810,2
18265,2
20035,2
4230,2
18336,2
168,2
5526,2
3468,2
24560,2
13610,2
45878,2
12951,2
851,2
24913,2
9890,2
19104,2
14787,2
31786,2
15556,2
9566,2
40833,2
20327,2
27005,2
42581,2
28873,2
18811,2
4274,2
466,2
565,2
43127,2
33808,2
7299,2
29940,2
39666,2
11905,2
2211,2
10993,2
33042,2
7271,2
11754,2
8179,2
16759,2
14737,2
28543,2
14765,2
18727,2
38351,2
30376,2
33245,2
4860,2
29054,2
14476,2
28202,2
8043,2
4730,2
6770,2
9554,2
31709,2
6706,2
10952,2
28658,2
30331,2
41585,2
20617,2
1233,2
11070,2
34418,2
27617,2
45140,2
1537,2
13023,2
34213,2
27060,2
15720,2
9294,2
38336,2
4520,2
22110,2
4885,2
502,2
9160,2
11030,2
6737,2
17050,2
3273,2
5046,2
16096,2
8905,2
4244,2
1115,2
45345,2
2985,2
14774,2
19186,2
18987,2
29621,2
2864,2
3378,2
36232,2
9846,2
17555,2
39869,2
2214,2
2673,2
2609,2
5755,2
7127,2
37092,2
19383,2
35847,2
34583,2
21906,2
25239,2
10037,2
35309,2
10803,2
32806,2
3419,2
26355,2
5196,2
25201,2
7442,2
1423,2
30455,2
15154,2
2562,2
7309,2
17477,2
28067,2
39628,2
1164,2
44405,2
4163,2
17467,2
2442,2
6212,2
6401,2
30128,2
1006,2
5489,2
9392,2
29862,2
36408,2
26543,2
3054,2
2983,2
47438,2
5771,2
22896,2
2758,2
23492,2
4129,2
25573,2
19706,2
27588,2
41890,2
24684,2
5654,2
44991,2
5228,2
13710,2
2580,2
46698,2
4868,2
9101,2
21029,2
1705,2
11154,2
31550,2
28438,2
6348,2
14846,2
9799,2
4265,2
17785,2
16113,2
3716,2
1181,2
6068,2
950,2
4786,2
19679,2
46572,2
4460,2
15869,2
13621,2
20795,2
2361,2
524,2
16338,2
44779,2
10990,2
6677,2
24677,2
1683,2
1176,2
40888,2
7561,2
6050,2
3777,2
4983,2
21177,2
37528,2
470,2
25310,2
4776,2
7614,2
45844,2
39809,2
843,2
2060,2
7366,2
38302,2
32634,2
7221,2
46635,2
1711,2
17307,2
26942,2
3169,2
10599,2
26575,2
9888,2
22412,2
20566,2
32460,2
37774,2
21213,2
3571,2
42040,2
16126,2
19648,2
40352,2
1864,2
4977,2
26377,2
34233,2
42603,2
2005,2
6057,2
34428,2
32091,2
29469,2
9680,2
21023,2
32791,2
4409,2
7295,2
11430,2
30969,2
32320,2
35576,2
46704,2
6194,2
15954,2
10658,2
13971,2
2869,2
26474,2
2768,2
18279,2
2970,2
145,2
13076,2
6195,2
37167,2
12124,2
3618,2
43472,2
30479,2
42298,2
21366,2
2085,2
17833,2
4036,2
400,2
26073,2
5865,2
6530,2
2532,2
40571,2
17173,2
35236,2
18955,2
20719,2
3264,2
17499,2
2477,2
8583,2
1912,2
27728,2
1485,2
2099,2
1986,2
26633,2
29077,2
15295,2
9695,2
14181,2
25561,2
20547,2
22182,2
8041,2
38849,2
28278,2
1227,2
854,2
885,2
38282,2
3036,2
34847,2
18795,2
5967,2
647,2
3781,2
430,2
4017,2
23042,2
19834,2
37201,2
1139,2
4058,2
9556,2
17584,2
4570,2
18176,2
25783,2
199,2
1449,2
40337,2
5747,2
44071,2
17897,2
9673,2
9243,2
682,2
45098,2
8475,2
40065,2
13485,2
2464,2
41861,2
28449,2
7853,2
26107,2
19475,2
40830,2
6917,2
16546,2
9448,2
1825,2
6947,2
3565,2
323,2
27723,2
44596,2
3403,2
2875,2
4216,2
33068,2
6975,2
4580,2
7688,2
16870,2
29910,2
2386,2
6112,2
7919,2
46536,2
5305,2
22446,2
10325,2
41365,2
429,2
46192,2
23187,2
7498,2
33840,2
23589,2
17715,2
13168,2
2495,2
11033,2
17399,2
39093,2
19137,2
16159,2
10167,2
3031,2
3228,2
5708,2
12595,2
3376,2
3864,2
3367,2
15971,2
19784,2
2096,2
28781,2
1282,2
9065,2
915,2
33780,2
899,2
2133,2
25232,2
2373,2
38367,2
1013,2
2248,2
42823,2
41916,2
6649,2
40880,2
2894,2
29683,2
8618,2
2981,2
23410,2
38692,2
5716,2
26943,2
1877,2
626,2
28160,2
5611,2
4385,2
15190,2
41278,2
7328,2
2175,2
26678,2
4352,2
25431,2
25377,2
17417,2
12231,2
5267,2
352,2
5012,2
15045,2
11043,2
10825,2
13587,2
35066,2
38939,2
23358,2
9190,2
27955,2
30046,2
3830,2
44451,2
7123,2
1867,2
849,2
11209,2
777,2
11798,2
8666,2
7837,2
19222,2
6101,2
2056,2
37559,2
3037,2
7461,2
11973,2
41758,2
20490,2
1001,2
13476,2
10593,2
11661,2
4708,2
21908,2
3932,2
28188,2
6523,2
29244,2
7668,2
7687,2
9932,2
13376,2
7818,2
1378,2
20758,2
8221,2
40961,2
4741,2
6014,2
217,2
7894,2
5909,2
4505,2
5712,2
32130,2
22106,2
21660,2
5505,2
39510,2
37460,2
16177,2
45872,2
17397,2
41187,2
5011,2
18149,2
2555,2
3715,2
10010,2
8275,2
9267,2
27675,2
29619,2
19435,2
22923,2
2515,2
19719,2
17142,2
7678,2
34617,2
43503,2
4249,2
1669,2
21074,2
4705,2
937,2
21974,2
38935,2
582,2
6362,2
771,2
24453,2
16314,2
298,2
20223,2
28122,2
3309,2
17682,2
29103,2
12105,2
14062,2
3402,2
15297,2
45745,2
23615,2
37637,2
27562,2
5408,2
6294,2
3426,2
17363,2
21245,2
22698,2
8323,2
22202,2
43423,2
5309,2
24989,2
2418,2
6986,2
31215,2
37520,2
2706,2
42390,2
32668,2
44156,2
29602,2
1471,2
43322,2
6393,2
18917,2
579,2
3859,2
9791,2
21536,2
2741,2
11576,2
20413,2
28582,2
2082,2
41682,2
6851,2
38004,2
30694,2
3069,2
33422,2
23937,2
46032,2
22549,2
10743,2
32739,2
47356,2
17096,2
2528,2
29709,2
24067,2
2465,2
41058,2
23503,2
37795,2
5565,2
5908,2
7475,2
21299,2
2876,2
4525,2
46201,2
21724,2
27601,2
18876,2
737,2
17458,2
2625,2
30170,2
2212,2
38742,2
31409,2
33090,2
2916,2
22473,2
33604,2
31946,2
22809,2
7238,2
6109,2
1049,2
45950,2
17875,2
46664,2
1132,2
9402,2
14807,2
27525,2
39671,2
39894,2
3050,2
50,2
15171,2
17973,2
28355,2
174,2
19902,2
15801,2
420,2
5837,2
39625,2
3244,2
801,2
10414,2
3708,2
3556,2
31179,2
21610,2
44738,2
44512,2
13848,2
19416,2
2800,2
5276,2
31366,2
44597,2
12478,2
45452,2
29834,2
21044,2
29168,2
14500,2
355,2
40566,2
10477,2
39589,2
25504,2
2653,2
2001,2
15076,2
26331,2
18773,2
6568,2
19806,2
22017,2
15287,2
14404,2
33493,2
29046,2
4337,2
47219,2
29157,2
15530,2
29289,2
17639,2
2762,2
4539,2
29267,2
21657,2
41799,2
14837,2
16031,2
39770,2
23059,2
32513,2
30797,2
17567,2
5212,2
23946,2
6688,2
3706,2
6073,2
38261,2
5217,2
15944,2
15626,2
5877,2
9793,2
45883,2
17299,2
5541,2
20980,2
3003,2
31444,2
29309,2
14175,2
40382,2
32309,2
15444,2
18829,2
36410,2
5246,2
6408,2
31343,2
23035,2
45862,2
26890,2
45282,2
3029,2
16298,2
32722,2
25685,2
6162,2
3832,2
3435,2
3078,2
18146,2
13040,2
34038,2
36291,2
28118,2
7787,2
13964,2
35105,2
40077,2
5554,2
41064,2
5043,2
28625,2
23714,2
8318,2
8678,2
8490,2
11811,2
22751,2
4223,2
10640,2
18479,2
43062,2
36005,2
46574,2
7230,2
38492,2
14626,2
16455,2
46028,2
15459,2
46410,2
7706,2
26608,2
11476,2
8280,2
21061,2
10736,2
5734,2
20218,2
7030,2
16373,2
15665,2
13589,2
20138,2
12154,2
43331,2
8871,2
40489,2
13161,2
29142,2
40066,2
10425,2
8421,2
45941,2
6659,2
42005,2
11105,2
6833,2
11307,2
30056,2
18555,2
35928,2
4679,2
21392,2
3930,2
20917,2
45663,2
33904,2
3790,2
44111,2
35215,2
15732,2
8239,2
36286,2
8962,2
5330,2
6661,2
42284,2
16158,2
44712,2
8782,2
34177,2
19102,2
8762,2
9268,2
28192,2
30225,2
46703,2
5004,2
29763,2
20648,2
45998,2
40357,2
8058,2
5056,2
46057,2
7626,2
18093,2
20392,2
10312,2
16431,2
29265,2
4083,2
14544,2
19486,2
10531,2
4200,2
17395,2
9729,2
35433,2
18150,2
7639,2
6434,2
6030,2
6995,2
14936,2
35543,2
7545,2
5378,2
43610,2
37223,2
40120,2
34036,2
14957,2
15508,2
34328,2
16508,2
33646,2
6736,2
19022,2
12031,2
32823,2
14274,2
13572,2
15143,2
8756,2
10596,2
34928,2
34635,2
44478,2
17100,2
39983,2
9804,2
44317,2
29721,2
10942,2
37977,2
46338,2
5538,2
7564,2
18036,2
39590,2
28944,2
29696,2
11906,2
20291,2
13942,2
20398,2
9605,2
4538,2
45407,2
25860,2
24580,2
7150,2
14970,2
27906,2
43952,2
12605,2
38373,2
8046,2
6179,2
5327,2
24868,2
4742,2
24130,2
11874,2
41537,2
20444,2
41534,2
41550,2
13626,2
26995,2
32429,2
7265,2
34379,2
21071,2
12419,2
17162,2
7322,2
8511,2
7340,2
30380,2
43834,2
22199,2
6537,2
5698,2
24665,2
32596,2
22497,2
8322,2
7162,2
40335,2
33918,2
9193,2
23243,2
41243,2
34573,2
14541,2
5081,2
23767,2
18903,2
14604,2
16578,2
41800,2
5412,2
37121,2
41983,2
18599,2
12946,2
9061,2
18573,2
42125,2
8977,2
39125,2
15554,2
39348,2
46448,2
26790,2
7357,2
13153,2
44233,2
31805,2
43569,2
41427,2
28102,2
5876,2
5116,2
27429,2
33579,2
9581,2
11912,2
9196,2
38712,2
20713,2
15335,2
12893,2
26055,2
18970,2
21489,2
41672,2
5206,2
26806,2
14422,2
31006,2
15237,2
29529,2
45976,2
31421,2
43832,2
23652,2
41944,2
6185,2
45979,2
9537,2
5140,2
47101,2
43811,2
6979,2
10509,2
45269,2
27215,2
35737,2
16042,2
11122,2
36073,2
16251,2
43193,2
13206,2
42018,2
5479,2
19201,2
22531,2
7268,2
46306,2
38810,2
13130,2
10491,2
45162,2
27689,2
32177,2
38792,2
41006,2
29208,2
